id,old_region,new_region,disposition
0842f5ad-f7c1-4b80-9d40-d121d92129d0,"314 Kangarilla Rd","Adelaide",tier1-live-spatial
bc2c0823-115b-40bd-9996-12dcc55e29a9,"339 Belair Rd","Adelaide",tier1-live-spatial
1049c8b6-f1b0-4d22-9f44-35b8c575293f,"37 Martin St, Port Willunga, South Australia","Adelaide",tier1-live-spatial
a5fb3a31-db8e-4503-8745-b9c037cf0e74,"371 Plains Rd, Sellicks Hill, South Australia","Adelaide",tier1-live-spatial
9b8a2fa6-c9bf-4780-95db-cf829714e83a,"3737 Main South Rd, Sellicks Hil","Adelaide",tier1-live-spatial
d8ecc1e7-00df-4645-a6f3-c22b4fdf164f,"377 California Rd, Tatachilla","Adelaide",tier1-live-spatial
d0ac916a-8ac5-4885-a1fc-9b822a347079,"402 Main Rd, McLaren Vale SA 5171","Adelaide",tier1-live-spatial
a3cabe91-5fcf-409b-ae0a-374b8746a2f9,"44 Henley Beach Rd","Adelaide",tier1-live-spatial
66f4cba2-6630-4a67-8831-67ea193b338f,"45 Grants Gully Rd","Adelaide",tier1-live-spatial
7823994c-0093-4f32-b265-3117fd2f00d9,"46 High St, Burnside, South Australia","Adelaide",tier1-live-spatial
284748b6-b4c2-4904-b9e7-1383424c967e,"479 Payneham Rd","Adelaide",tier1-live-spatial
52ebf814-0293-40ae-8565-939be4337c36,"49 Vaughtons Track Via Warners Road, McLaren Vale","Adelaide",tier1-live-spatial
